Name,Dots,Lab Topics,Related Tags,Reverse Related Tags,Books,Media,Notes,Organizations,People,Last Edited,Media Highlights,Journal Entries,Places,Organization Job Interest,Job Interest,🗺️ Personal Board
Soundscapes,,,"https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1, https://www.notion.so/Silence-3046450541334ce988df61dba6836de3, https://www.notion.so/Acoustics-99b1b5d05a6e47a18f991126cb56377e, https://www.notion.so/Acoustic-Ecology-9688a29171cf40709f9311131ea8a02e","https://www.notion.so/Silence-3046450541334ce988df61dba6836de3, https://www.notion.so/Acoustic-Ecology-9688a29171cf40709f9311131ea8a02e, https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1",,https://www.notion.so/Let-Brooklyn-Be-Loud-2b05afbeda4c4265a154390fd5c36336,,,,"November 6, 2022 7:52 PM",1,,,,,
Acoustic Ecology,,,"https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1, https://www.notion.so/Sustainability-3b9c1d93f0c9423b9351c08f302023bc, https://www.notion.so/Environment-639f9c2e20b548c19cd5e5d985cc347c, https://www.notion.so/Soundscapes-605c14614b36451aa8d4006db91b7b99","https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1, https://www.notion.so/Environment-639f9c2e20b548c19cd5e5d985cc347c, https://www.notion.so/Sustainability-3b9c1d93f0c9423b9351c08f302023bc, https://www.notion.so/Soundscapes-605c14614b36451aa8d4006db91b7b99",,https://www.notion.so/Let-Brooklyn-Be-Loud-2b05afbeda4c4265a154390fd5c36336,,,,"November 6, 2022 7:52 PM",1,,,,,
Acoustics,,,https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1,"https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1, https://www.notion.so/Soundscapes-605c14614b36451aa8d4006db91b7b99",,,,,,"November 6, 2022 7:51 PM",,,,,,
Silence,,,"https://www.notion.so/Noise-b039b18e5d1a4e3bbc23fe3f8714eb49, https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1, https://www.notion.so/Soundscapes-605c14614b36451aa8d4006db91b7b99","https://www.notion.so/Noise-b039b18e5d1a4e3bbc23fe3f8714eb49, https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1, https://www.notion.so/Soundscapes-605c14614b36451aa8d4006db91b7b99",,,,,,"November 6, 2022 7:51 PM",,,,,,
Noise,,,"https://www.notion.so/Silence-3046450541334ce988df61dba6836de3, https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1","https://www.notion.so/Silence-3046450541334ce988df61dba6836de3, https://www.notion.so/Sound-627f538112a448aebb0944cec5ca2fc1",,https://www.notion.so/Let-Brooklyn-Be-Loud-2b05afbeda4c4265a154390fd5c36336,,,,"November 6, 2022 7:50 PM",1,,,,,
Community,,,"https://www.notion.so/Humanity-aac3b6e7b25b49eb8e61382f0da07b06, https://www.notion.so/Community-Management-0a5d547bd1cf458cb2df878d2b098fa1, https://www.notion.so/Sharing-6cf9f693809442a6bb1f1ad2c5c14bcd, https://www.notion.so/Collaboration-2e833858b1d34c4a948b47ffe2eee901","https://www.notion.so/Humanity-aac3b6e7b25b49eb8e61382f0da07b06, https://www.notion.so/Community-Management-0a5d547bd1cf458cb2df878d2b098fa1, https://www.notion.so/Sharing-6cf9f693809442a6bb1f1ad2c5c14bcd, https://www.notion.so/Collaboration-2e833858b1d34c4a948b47ffe2eee901",,,,,,"November 6, 2022 7:00 PM",,,,,,
Humanity,https://www.notion.so/We-re-necessarily-in-this-together-2b882ac830534a8cbdc1f71cfe3fcc58,,"https://www.notion.so/Anthropology-0c81775c3fcf448a8912b92f0ff8c18d, https://www.notion.so/Philosophy-7072f2f8b46b4336b1589b5b87faba6d, https://www.notion.so/Community-242d7fb2bd8e4fd7b70b556128be15ee","https://www.notion.so/Anthropology-0c81775c3fcf448a8912b92f0ff8c18d, https://www.notion.so/Philosophy-7072f2f8b46b4336b1589b5b87faba6d, https://www.notion.so/Community-242d7fb2bd8e4fd7b70b556128be15ee",,,,,,"November 6, 2022 7:00 PM",,,,,,
Cultural Relevance,,,"https://www.notion.so/Culture-b13d70faafab4e3bb9cbc8f793b8bea8, https://www.notion.so/Hype-and-Virality-2f62bf8f24d24e8caf1476099bc9a970, https://www.notion.so/Popularity-Celebrity-and-Fame-7b8249f2e907482092e5e68cc7efc13f","https://www.notion.so/Culture-b13d70faafab4e3bb9cbc8f793b8bea8, https://www.notion.so/Hype-and-Virality-2f62bf8f24d24e8caf1476099bc9a970, https://www.notion.so/Popularity-Celebrity-and-Fame-7b8249f2e907482092e5e68cc7efc13f",,,,,,"November 6, 2022 6:51 PM",,https://www.notion.so/August-18th-2022-9b54c1104f6f442a89aa1aedf948e2af,,,,
Hype and Virality,,,"https://www.notion.so/Popularity-Celebrity-and-Fame-7b8249f2e907482092e5e68cc7efc13f, https://www.notion.so/Social-Media-9b3a7d3a5357474a9ee91d60b19bb929, https://www.notion.so/Social-Psychology-dd411027ae474fdf8b2fe850c7305cad, https://www.notion.so/Cultural-Relevance-3520f8a7d698450bb7663db783e134e1","https://www.notion.so/Popularity-Celebrity-and-Fame-7b8249f2e907482092e5e68cc7efc13f, https://www.notion.so/Social-Psychology-dd411027ae474fdf8b2fe850c7305cad, https://www.notion.so/Social-Media-9b3a7d3a5357474a9ee91d60b19bb929, https://www.notion.so/Cultural-Relevance-3520f8a7d698450bb7663db783e134e1",,https://www.notion.so/Is-New-York-Overrated-e94c02ffed464b109bb1c6ea30e07b66,,,,"November 6, 2022 6:50 PM",,https://www.notion.so/August-19th-2022-c16cb101293d4900b350e7db1a03a453,,,,
"Popularity, Celebrity and Fame",,,"https://www.notion.so/Media-Studies-dff9a148f7bf42b287ac43cde3cfc525, https://www.notion.so/Social-Media-9b3a7d3a5357474a9ee91d60b19bb929, https://www.notion.so/Social-Classes-5a6a53496d714189b340c36da30493b1, https://www.notion.so/Branding-17f74fc924044be8b0cedfcc2d78f280, https://www.notion.so/Hype-and-Virality-2f62bf8f24d24e8caf1476099bc9a970, https://www.notion.so/Cultural-Relevance-3520f8a7d698450bb7663db783e134e1","https://www.notion.so/Media-Studies-dff9a148f7bf42b287ac43cde3cfc525, https://www.notion.so/Social-Media-9b3a7d3a5357474a9ee91d60b19bb929, https://www.notion.so/Social-Classes-5a6a53496d714189b340c36da30493b1, https://www.notion.so/Branding-17f74fc924044be8b0cedfcc2d78f280, https://www.notion.so/Hype-and-Virality-2f62bf8f24d24e8caf1476099bc9a970, https://www.notion.so/Cultural-Relevance-3520f8a7d698450bb7663db783e134e1",,"https://www.notion.so/What-Happened-to-Jordan-Peterson-ad5bf1021023458b92aa1f35fcb6c442, https://www.notion.so/Is-New-York-Overrated-e94c02ffed464b109bb1c6ea30e07b66",,,,"November 6, 2022 6:50 PM",,,,,,
Engineering,,,"https://www.notion.so/Tools-for-Thought-ae590f4076df4a13a05e123295d1aaf4, https://www.notion.so/Design-7545135b0fdf4d3eab96a94db3c604f5","https://www.notion.so/Tools-for-Thought-ae590f4076df4a13a05e123295d1aaf4, https://www.notion.so/Design-7545135b0fdf4d3eab96a94db3c604f5",,,,,,"November 6, 2022 6:48 PM",,,,,,
Social Science,,,"https://www.notion.so/Linguistics-d454b0ff546c4d2fae986773a93c4fa7, https://www.notion.so/History-108ea17323884ce5bcf3fb0627fa0a16, https://www.notion.so/Geography-a9a0f9f114924dce8e51c0e59e86f9a9, https://www.notion.so/Psychology-c4cd828b37c94e1daded0dc7752ea253","https://www.notion.so/Linguistics-d454b0ff546c4d2fae986773a93c4fa7, https://www.notion.so/History-108ea17323884ce5bcf3fb0627fa0a16, https://www.notion.so/Geography-a9a0f9f114924dce8e51c0e59e86f9a9, https://www.notion.so/Psychology-c4cd828b37c94e1daded0dc7752ea253",,,,,,"November 6, 2022 6:46 PM",,,,,,
Linguistics,https://www.notion.so/The-within-between-spectrum-d59d0227716a489795e88024d5de32a9,,"https://www.notion.so/Anthropology-0c81775c3fcf448a8912b92f0ff8c18d, https://www.notion.so/Language-06cb26dae69b48d58336b3111aed9c8f, https://www.notion.so/Communication-0c92cc61b0df48e8ac7ca65e748c649a, https://www.notion.so/Social-Science-faf218e22d0a45e68ee6856520fca5b4","https://www.notion.so/Anthropology-0c81775c3fcf448a8912b92f0ff8c18d, https://www.notion.so/Language-06cb26dae69b48d58336b3111aed9c8f, https://www.notion.so/Social-Science-faf218e22d0a45e68ee6856520fca5b4",,https://www.notion.so/I-Taught-ChatGPT-to-Invent-a-Language-by-Dylan-Black-0e5b9700e1ed46bd9285f516fe0258c8,,,https://www.notion.so/Linus-Lee-9c3aadca110b46daa9f050e96686d330,"November 6, 2022 6:45 PM",,https://www.notion.so/August-18th-2022-9b54c1104f6f442a89aa1aedf948e2af,,,,
Language,,,"https://www.notion.so/Linguistics-d454b0ff546c4d2fae986773a93c4fa7, https://www.notion.so/Communication-0c92cc61b0df48e8ac7ca65e748c649a","https://www.notion.so/Linguistics-d454b0ff546c4d2fae986773a93c4fa7, https://www.notion.so/Communication-0c92cc61b0df48e8ac7ca65e748c649a",,,,https://www.notion.so/Duolingo-2444bb4dbdc04c03af722ffb5c75cc5d,https://www.notion.so/Linus-Lee-9c3aadca110b46daa9f050e96686d330,"November 6, 2022 6:44 PM",,,,1,,
Communication,,,https://www.notion.so/Language-06cb26dae69b48d58336b3111aed9c8f,"https://www.notion.so/Language-06cb26dae69b48d58336b3111aed9c8f, https://www.notion.so/Linguistics-d454b0ff546c4d2fae986773a93c4fa7",,,,https://www.notion.so/Discord-f6fd8a6af8e24779ab60b1c49bb76f78,,"November 6, 2022 6:44 PM",,,,1,,
Time,,,"https://www.notion.so/Daylight-Savings-f00d469e65554c4db4f29be722133de3, https://www.notion.so/Physics-daa8db8dd3834072b743425b2b76e66c","https://www.notion.so/Daylight-Savings-f00d469e65554c4db4f29be722133de3, https://www.notion.so/Physics-daa8db8dd3834072b743425b2b76e66c",,https://www.notion.so/Rejoice-in-the-End-of-Daylight-Saving-Time-0361d20a7b5d4c4e9d5190a846c6b811,,,,"November 6, 2022 6:38 PM",,,,,,
Physics,,,https://www.notion.so/Time-10a46f02ba8a47aba26ce2614f6b6008,https://www.notion.so/Time-10a46f02ba8a47aba26ce2614f6b6008,,,,,,"November 6, 2022 6:37 PM",,,,,,
Daylight Savings,,,"https://www.notion.so/Time-10a46f02ba8a47aba26ce2614f6b6008, https://www.notion.so/Sustainability-3b9c1d93f0c9423b9351c08f302023bc","https://www.notion.so/Time-10a46f02ba8a47aba26ce2614f6b6008, https://www.notion.so/Sustainability-3b9c1d93f0c9423b9351c08f302023bc",,https://www.notion.so/Rejoice-in-the-End-of-Daylight-Saving-Time-0361d20a7b5d4c4e9d5190a846c6b811,,,,"November 6, 2022 6:37 PM",,,,,,
Inequality,"https://www.notion.so/You-can-t-dismiss-a-problem-just-because-of-a-bad-solution-00a45da30148449882dbac7893e9e15c, https://www.notion.so/Conservatives-hide-their-indifference-about-inequality-behind-formal-arguments-about-woke-culture-a7703d077d524770ab795bf68b13591d",,"https://www.notion.so/Social-Classes-5a6a53496d714189b340c36da30493b1, https://www.notion.so/Economics-d0a013d3adac497aa7fc4b2e23922811, https://www.notion.so/Feminism-and-Gender-Studies-f2fdde58c54147ed822ac30e49f3de4e, https://www.notion.so/Justice-ee8c56fc5b1e4db28f34c58c7b34128e, https://www.notion.so/Social-Justice-8bfc21b493074f91be6ad7f329c3d077, https://www.notion.so/Power-Dynamics-45ff59899ffe4512a3d02cc119ea47ce, https://www.notion.so/Privilege-094ae51a7f324265a53ca8944b6911d3","https://www.notion.so/Justice-ee8c56fc5b1e4db28f34c58c7b34128e, https://www.notion.so/Social-Classes-5a6a53496d714189b340c36da30493b1, https://www.notion.so/Economics-d0a013d3adac497aa7fc4b2e23922811, https://www.notion.so/Feminism-and-Gender-Studies-f2fdde58c54147ed822ac30e49f3de4e, https://www.notion.so/Social-Justice-8bfc21b493074f91be6ad7f329c3d077, https://www.notion.so/Power-Dynamics-45ff59899ffe4512a3d02cc119ea47ce, https://www.notion.so/Privilege-094ae51a7f324265a53ca8944b6911d3",,"https://www.notion.so/Chartbook-143-China-Africa-and-a-new-Two-World-divide-160e8988185e4bf49817ab242fdac2ea, https://www.notion.so/Haiti-2022-Polycrisis-adc16bc71679425fa506d1fff816fc9b",,,,"November 6, 2022 6:36 PM",,https://www.notion.so/August-19th-2022-c16cb101293d4900b350e7db1a03a453,,,,
Inflation,,,https://www.notion.so/Polycrisis-d190cea1e49b432d95f270f1c181c3a7,https://www.notion.so/Polycrisis-d190cea1e49b432d95f270f1c181c3a7,,,,,,"November 6, 2022 6:35 PM",,,,,,
Recession,,,https://www.notion.so/Polycrisis-d190cea1e49b432d95f270f1c181c3a7,https://www.notion.so/Polycrisis-d190cea1e49b432d95f270f1c181c3a7,,,,,,"November 6, 2022 6:35 PM",,,,,,
Polycrisis,,,"https://www.notion.so/Macroeconomics-8b203e28cc0d4af9a222d5c29a8d259c, https://www.notion.so/Inflation-05b1e2b58b87423fac977d58ab78026f, https://www.notion.so/Covid-19-f8f93da2fe9e4fd4b19e059ed07eec9a, https://www.notion.so/Recession-6c40ae2f713a4043add9be400623503e","https://www.notion.so/Macroeconomics-8b203e28cc0d4af9a222d5c29a8d259c, https://www.notion.so/Inflation-05b1e2b58b87423fac977d58ab78026f, https://www.notion.so/Covid-19-f8f93da2fe9e4fd4b19e059ed07eec9a, https://www.notion.so/Recession-6c40ae2f713a4043add9be400623503e",,https://www.notion.so/Haiti-2022-Polycrisis-adc16bc71679425fa506d1fff816fc9b,,,,"November 6, 2022 6:35 PM",,,,,,
Macroeconomics,,,"https://www.notion.so/Economics-d0a013d3adac497aa7fc4b2e23922811, https://www.notion.so/Capitalism-11eb92657705484fbe70ac9a2d93f154, https://www.notion.so/Polycrisis-d190cea1e49b432d95f270f1c181c3a7","https://www.notion.so/Economics-d0a013d3adac497aa7fc4b2e23922811, https://www.notion.so/Capitalism-11eb92657705484fbe70ac9a2d93f154, https://www.notion.so/Polycrisis-d190cea1e49b432d95f270f1c181c3a7",,https://www.notion.so/Haiti-2022-Polycrisis-adc16bc71679425fa506d1fff816fc9b,,,,"November 6, 2022 6:34 PM",,,,,,
Thoughtful rant,,,,,,,,,,"August 31, 2022 3:51 PM",,https://www.notion.so/August-31st-2022-ea8b63e010bb4a68827bd11dc9ed7435,,,,
Cyberpunk,,,"https://www.notion.so/Decentralization-d17b0b5883a44af0bb1d5c646e0a2baa, https://www.notion.so/Technology-86656c03c3ba4683b5e8964123d1e99a, https://www.notion.so/Aesthetics-bdb21d57512f446a975f89b452b4682f, https://www.notion.so/Underdogs-7de872d20fef494dbec73f61421ee8b5, https://www.notion.so/The-Internet-1cf4c4e9a74d4f1faa6b33223da3f341, https://www.notion.so/Web3-4f912677cbc4485eba3f799b8e3c604b","https://www.notion.so/Decentralization-d17b0b5883a44af0bb1d5c646e0a2baa, https://www.notion.so/Technology-86656c03c3ba4683b5e8964123d1e99a, https://www.notion.so/Aesthetics-bdb21d57512f446a975f89b452b4682f, https://www.notion.so/Underdogs-7de872d20fef494dbec73f61421ee8b5, https://www.notion.so/The-Internet-1cf4c4e9a74d4f1faa6b33223da3f341, https://www.notion.so/Web3-4f912677cbc4485eba3f799b8e3c604b",,,,,,"August 31, 2022 11:57 AM",,https://www.notion.so/August-31st-2022-ea8b63e010bb4a68827bd11dc9ed7435,,,,
Web3,https://www.notion.so/The-Metaverse-is-a-solution-agnostic-problem-space-Web3-is-a-problem-agnostic-solution-space-bb0e1b6246c3432496c3d38beb23dd7e,,"https://www.notion.so/Blockchain-7194f96d8a4f4850b9d8957673d0e2c7, https://www.notion.so/The-Internet-1cf4c4e9a74d4f1faa6b33223da3f341, https://www.notion.so/DAO-2f8436a1a3f14c24897c979419835860, https://www.notion.so/Collaborative-Research-4ad58b66fb3f4ed48a8e04867275cec7, https://www.notion.so/Decentralization-d17b0b5883a44af0bb1d5c646e0a2baa, https://www.notion.so/Cyberpunk-2f925126ab454f12b9f65d4646e30a7e","https://www.notion.so/DAO-2f8436a1a3f14c24897c979419835860, https://www.notion.so/Blockchain-7194f96d8a4f4850b9d8957673d0e2c7, https://www.notion.so/The-Internet-1cf4c4e9a74d4f1faa6b33223da3f341, https://www.notion.so/Collaborative-Research-4ad58b66fb3f4ed48a8e04867275cec7, https://www.notion.so/Decentralization-d17b0b5883a44af0bb1d5c646e0a2baa, https://www.notion.so/Cyberpunk-2f925126ab454f12b9f65d4646e30a7e",,"https://www.notion.so/Topshelf-DAO-announcement-925db5bda9144a19b233f3b8aea4fc7c, https://www.notion.so/What-Is-Web-3-0-Why-It-Matters-759a03922f494e1a9156735b1e77f186, https://www.notion.so/Digital-Fashion-x-Gaming-v1-Mary-Maguire-07e64acc29b943b88b3076952d720d04, https://www.notion.so/In-the-future-musicians-will-be-more-like-Bach-than-Kanye-Mirror-48b20635ac3244caa39c38c6d6af4999",https://www.notion.so/Cherie-W-M-Interface-817a8916f72a4f03ae6e492f7b5c4713,,"https://www.notion.so/Matt-Dryhurst-d745681f080b404aacd5e26c895983f7, https://www.notion.so/Mary-Maguire-1f589d8d05a94ffa8b9db61a806dd45e, https://www.notion.so/Cherie-Hu-578351f8ab864714af70709984111f59","August 31, 2022 11:57 AM",,https://www.notion.so/August-31st-2022-ea8b63e010bb4a68827bd11dc9ed7435,,,,
Decentralization,,,"https://www.notion.so/Web3-4f912677cbc4485eba3f799b8e3c604b, https://www.notion.so/Cyberpunk-2f925126ab454f12b9f65d4646e30a7e","https://www.notion.so/Web3-4f912677cbc4485eba3f799b8e3c604b, https://www.notion.so/Cyberpunk-2f925126ab454f12b9f65d4646e30a7e",,,,,,"August 31, 2022 11:56 AM",,,,,,
Linux,,,,,,,,,,"August 31, 2022 11:53 AM",,https://www.notion.so/August-31st-2022-ea8b63e010bb4a68827bd11dc9ed7435,,,,
Ambition,https://www.notion.so/I-m-more-curious-than-I-am-ambitious-979a844f7107451985e0d21142c34b64,,"https://www.notion.so/Success-aaf589fb32084cd3bcbd51f54ccd683e, https://www.notion.so/Winning-and-Losing-42f4ca8d2c04486ea6a55c07cd60487c","https://www.notion.so/Success-aaf589fb32084cd3bcbd51f54ccd683e, https://www.notion.so/Winning-and-Losing-42f4ca8d2c04486ea6a55c07cd60487c",,,,,,"August 30, 2022 12:00 PM",,,,,,
Secure Attachment,,,"https://www.notion.so/Attachment-Styles-ec4056f5b68b4ba8b3213b2a85d002de, https://www.notion.so/Relationships-05e7d86642e640588d20bea0b6135de3, https://www.notion.so/Psychology-c4cd828b37c94e1daded0dc7752ea253, https://www.notion.so/Personality-c52f02df5de7409996cd25f7602defca","https://www.notion.so/Attachment-Styles-ec4056f5b68b4ba8b3213b2a85d002de, https://www.notion.so/Psychology-c4cd828b37c94e1daded0dc7752ea253, https://www.notion.so/Personality-c52f02df5de7409996cd25f7602defca, https://www.notion.so/Relationships-05e7d86642e640588d20bea0b6135de3",,https://www.notion.so/How-Your-Attachment-Style-Shapes-Your-Friendships-The-Atlantic-78e7990f6b5b4ac98f15622661592fd6,,,,"August 30, 2022 11:47 AM",,,,,,
Identity,"https://www.notion.so/My-many-cultures-nationalities-and-identities-come-out-in-different-aspects-of-my-personality-but--9c1db92ab3644534875f8a985a39ef91, https://www.notion.so/You-are-what-you-do-a2ee99a7f6e048d39100c1cbb6f89daf, https://www.notion.so/You-are-who-you-are-4b41e5ef864d42c28edeca510fc396a7, https://www.notion.so/You-are-the-people-you-love-you-are-the-people-who-love-you-ad6e8df398194f8e9fa015fd787cd123, https://www.notion.so/You-are-the-places-where-you-are-loved-you-belong-where-you-are-loved-ae6bd0edc0294e2fba15e7f6601b30cf",,"https://www.notion.so/Racial-Minorities-90c04d20cf4140ae8e976b37c6b5163a, https://www.notion.so/Personality-c52f02df5de7409996cd25f7602defca, https://www.notion.so/Demographics-9d7b4718bc7047119aef7e2bb0f332ec, https://www.notion.so/Culture-b13d70faafab4e3bb9cbc8f793b8bea8, https://www.notion.so/Social-Justice-8bfc21b493074f91be6ad7f329c3d077","https://www.notion.so/Racial-Minorities-90c04d20cf4140ae8e976b37c6b5163a, https://www.notion.so/Culture-b13d70faafab4e3bb9cbc8f793b8bea8, https://www.notion.so/Social-Justice-8bfc21b493074f91be6ad7f329c3d077, https://www.notion.so/Personality-c52f02df5de7409996cd25f7602defca",,,,,,"August 30, 2022 11:45 AM",,https://www.notion.so/August-30th-2022-b358d4f666d944a7a63131223bb75452,,,,
Success,"https://www.notion.so/Happiness-doesn-t-depend-as-much-on-achieving-new-things-as-it-does-on-nurturing-relationships-with--07be29cbf87c420f84ac9424e58d8a2c, https://www.notion.so/My-many-cultures-nationalities-and-identities-come-out-in-different-aspects-of-my-personality-but--9c1db92ab3644534875f8a985a39ef91, https://www.notion.so/I-m-more-curious-than-I-am-ambitious-979a844f7107451985e0d21142c34b64",,"https://www.notion.so/Winning-and-Losing-42f4ca8d2c04486ea6a55c07cd60487c, https://www.notion.so/Life-Experience-2ae8bb0095e14f7da58538be3baea063, https://www.notion.so/Strategy-04e423e54c8c465588a73916dd42613a, https://www.notion.so/Work-bcce4580d272417caeff794077a603f7, https://www.notion.so/Careers-1b593edf57074f1fa51d78293dd01acb, https://www.notion.so/Ambition-1a4c9b8ad0e24b549cf904ae757e514a","https://www.notion.so/Winning-and-Losing-42f4ca8d2c04486ea6a55c07cd60487c, https://www.notion.so/Life-Experience-2ae8bb0095e14f7da58538be3baea063, https://www.notion.so/Strategy-04e423e54c8c465588a73916dd42613a, https://www.notion.so/Work-bcce4580d272417caeff794077a603f7, https://www.notion.so/Careers-1b593edf57074f1fa51d78293dd01acb, https://www.notion.so/Ambition-1a4c9b8ad0e24b549cf904ae757e514a",,,,,,"August 30, 2022 11:43 AM",,,,,,
Happiness,https://www.notion.so/Happiness-doesn-t-depend-as-much-on-achieving-new-things-as-it-does-on-nurturing-relationships-with--07be29cbf87c420f84ac9424e58d8a2c,,"https://www.notion.so/Philosophy-of-Life-072651b02d4e40e494077ca6f131667f, https://www.notion.so/Psychology-c4cd828b37c94e1daded0dc7752ea253, https://www.notion.so/Spirituality-62819bed94944a4d93695069bf65667b, https://www.notion.so/Friendship-03994961b2864870a1e4aa6048a45938","https://www.notion.so/Philosophy-of-Life-072651b02d4e40e494077ca6f131667f, https://www.notion.so/Psychology-c4cd828b37c94e1daded0dc7752ea253, https://www.notion.so/Spirituality-62819bed94944a4d93695069bf65667b, https://www.notion.so/Friendship-03994961b2864870a1e4aa6048a45938",,https://www.notion.so/How-Your-Attachment-Style-Shapes-Your-Friendships-The-Atlantic-78e7990f6b5b4ac98f15622661592fd6,,,,"August 30, 2022 11:43 AM",,https://www.notion.so/August-30th-2022-b358d4f666d944a7a63131223bb75452,,,,
Relationships,"https://www.notion.so/Happiness-doesn-t-depend-as-much-on-achieving-new-things-as-it-does-on-nurturing-relationships-with--07be29cbf87c420f84ac9424e58d8a2c, https://www.notion.so/My-many-cultures-nationalities-and-identities-come-out-in-different-aspects-of-my-personality-but--9c1db92ab3644534875f8a985a39ef91, https://www.notion.so/You-are-the-people-you-love-you-are-the-people-who-love-you-ad6e8df398194f8e9fa015fd787cd123, https://www.notion.so/You-are-the-places-where-you-are-loved-you-belong-where-you-are-loved-ae6bd0edc0294e2fba15e7f6601b30cf",,"https://www.notion.so/Friendship-03994961b2864870a1e4aa6048a45938, https://www.notion.so/Love-584879f381e24907adf22c11b9167894, https://www.notion.so/Secure-Attachment-91d7a6785b1c4e0cbfcb072af85d33c5","https://www.notion.so/Friendship-03994961b2864870a1e4aa6048a45938, https://www.notion.so/Love-584879f381e24907adf22c11b9167894, https://www.notion.so/Secure-Attachment-91d7a6785b1c4e0cbfcb072af85d33c5",,,,,,"August 30, 2022 11:42 AM",,,,,,
Love,"https://www.notion.so/Discoveries-become-loved-connectedness-creates-opportunities-fa1825662597463bb22fad8586f27101, https://www.notion.so/You-are-the-people-you-love-you-are-the-people-who-love-you-ad6e8df398194f8e9fa015fd787cd123",,"https://www.notion.so/Life-Experience-2ae8bb0095e14f7da58538be3baea063, https://www.notion.so/Psychology-c4cd828b37c94e1daded0dc7752ea253, https://www.notion.so/Emotions-ffd841718a314b45b4b61d5f0a164214, https://www.notion.so/Relationships-05e7d86642e640588d20bea0b6135de3","https://www.notion.so/Life-Experience-2ae8bb0095e14f7da58538be3baea063, https://www.notion.so/Psychology-c4cd828b37c94e1daded0dc7752ea253, https://www.notion.so/Emotions-ffd841718a314b45b4b61d5f0a164214, https://www.notion.so/Relationships-05e7d86642e640588d20bea0b6135de3",,,https://www.notion.so/Looking-back-at-the-TFN-NYC-change-of-plans-aada02f09f95405eada1ff7817972514,,,"August 30, 2022 11:42 AM",,,,,,
Family,https://www.notion.so/Happiness-doesn-t-depend-as-much-on-achieving-new-things-as-it-does-on-nurturing-relationships-with--07be29cbf87c420f84ac9424e58d8a2c,,,,,https://www.notion.so/Internal-Family-Systems-Model-Wikipedia-84e270949cfb44f0ab0d7c77462efc8b,,,,"August 30, 2022 11:41 AM",,,,,,
Trust,,,,,,,,,,"August 30, 2022 11:23 AM",,,,,,
Socializing,,,"https://www.notion.so/Friendship-03994961b2864870a1e4aa6048a45938, https://www.notion.so/Anthropology-0c81775c3fcf448a8912b92f0ff8c18d, https://www.notion.so/Social-Psychology-dd411027ae474fdf8b2fe850c7305cad","https://www.notion.so/Friendship-03994961b2864870a1e4aa6048a45938, https://www.notion.so/Social-Psychology-dd411027ae474fdf8b2fe850c7305cad, https://www.notion.so/Anthropology-0c81775c3fcf448a8912b92f0ff8c18d",,,,,,"August 30, 2022 11:22 AM",,,,,,
Friendship,https://www.notion.so/Happiness-doesn-t-depend-as-much-on-achieving-new-things-as-it-does-on-nurturing-relationships-with--07be29cbf87c420f84ac9424e58d8a2c,,"https://www.notion.so/Happiness-5fc048c6fea345e0847b925161aa3de6, https://www.notion.so/Mental-Health-9e7063aeb8db4932a75af4071ed766cf, https://www.notion.so/Social-Psychology-dd411027ae474fdf8b2fe850c7305cad, https://www.notion.so/Socializing-5a5b1522ec5141918247d935396c7f6d, https://www.notion.so/Relationships-05e7d86642e640588d20bea0b6135de3","https://www.notion.so/Happiness-5fc048c6fea345e0847b925161aa3de6, https://www.notion.so/Mental-Health-9e7063aeb8db4932a75af4071ed766cf, https://www.notion.so/Social-Psychology-dd411027ae474fdf8b2fe850c7305cad, https://www.notion.so/Socializing-5a5b1522ec5141918247d935396c7f6d, https://www.notion.so/Relationships-05e7d86642e640588d20bea0b6135de3",,https://www.notion.so/How-Your-Attachment-Style-Shapes-Your-Friendships-The-Atlantic-78e7990f6b5b4ac98f15622661592fd6,,,https://www.notion.so/Antonio-Rodr-guez-f788868c5def48c39ad672761adfbb7c,"August 30, 2022 11:21 AM",,https://www.notion.so/August-30th-2022-b358d4f666d944a7a63131223bb75452,,,,
Attachment Styles,,,https://www.notion.so/Secure-Attachment-91d7a6785b1c4e0cbfcb072af85d33c5,https://www.notion.so/Secure-Attachment-91d7a6785b1c4e0cbfcb072af85d33c5,,https://www.notion.so/How-Your-Attachment-Style-Shapes-Your-Friendships-The-Atlantic-78e7990f6b5b4ac98f15622661592fd6,,,,"August 30, 2022 11:18 AM",,https://www.notion.so/August-30th-2022-b358d4f666d944a7a63131223bb75452,,,,
